,Normal Error Percents,CKKS Error Percents
-4970,6246006.95678166,6246419.675170323
-4980,6347001.357800147,6347420.243770947
-4990,6449525.17388298,6449951.626285696
-5000,6553600,6554033.652946068
-5010,6659247.713972217,6659688.361230308
-5020,6766490.479888234,6766939.175526081
-5030,6875350.751558293,6875806.472728306
-5040,6985851.276006663,6986314.166251321
-5050,7098015.097002535,7098484.943211317
-5060,7211865.558629832,7212343.305712005
-5070,7327426.308896238,7327911.824210372
-5080,7444721.303382149,7445213.082318385
-5090,7563774.808929638,7564276.95930046
-5100,7684611.407371951,7685119.994091211
-5110,7807255.999303847,7807773.95779475
-5120,7931733.807893349,7932259.124323374
-5130,8058070.382735353,8058604.922919894
-5140,8186291.603747111,8186834.334977546
-5150,8316423.68510648,8316975.9357255
-5160,8448493.179233156,8449054.237868492
-5170,8582526.980813308,8583097.928571941
-5180,8718552.330868071,8719129.073185623
-5190,8856596.820866253,8857185.214396125
-5200,8996688.396881834,8997284.364332927
-5210,9138855.36379678,9139462.791628174
-5220,9283126.389549175,9283743.284979127
-5230,9429530.509427553,9430158.533630164
-5240,9578097.130411804,9578733.641921068
-5250,9728856.035561066,9729503.98951265
-5260,9881837.388448888,9882494.578747278
-5270,10037071.737646438,10037740.602306595
-5280,10194590.021253979,10195268.599109901
-5290,10354423.571481407,10355113.168759715
-5300,10516604.119277813,10517304.381250532
-5310,10681163.799011048,10681872.625393242
-5320,10848135.153197441,10848856.803194877
-5330,11017551.137282588,11018282.919427583
-5340,11189445.124473048,11190192.288913587
-5350,11363850.910619995,11364609.390923936
-5360,11540802.719155127,11541572.306018032
-5370,11720335.206079537,11721116.750708219
-5380,11902483.465005593,11903275.820147995
-5390,12087283.032252748,12088089.744170217
-5400,12274769.891997736,12275588.078559564
-5410,12464980.481479758,12465812.754857767
-5420,12657951.696260797,12658796.670511242
-5430,12853720.895541929,12854581.322772691
-5440,13052325.907536326,13053196.708981976
-5450,13253805.034899069,13254690.20371909
-5460,13458197.060214652,13459098.274913501
-5470,13665541.251542352,13666453.55924695
-5480,13875877.36802068,13876804.49081398
-5490,14089245.665530788,14090189.095780257
-5500,14305686.90241986,14306644.474519499
-5510,14525242.345284682,14526214.051774148
-5520,14747953.774816314,14748939.735215172
-5530,14973863.491706483,14974864.59449077
-5540,15203014.322615808,15204028.872039542
-5550,15435449.62620486,15436481.138033181
-5560,15671213.299228562,15672262.551637439
-5570,15910349.782694787,15911413.605460841
-5580,16152904.068087012,16153986.065927314
-5590,16398921.7036525,16400019.795215648
-5600,16648448.800756034,16649564.656785926
-5610,16901532.04030036,16902665.038396467
-5620,17158218.679213412,17159368.981521342
-5630,17418556.55700308,17419723.3469413
-5640,17682594.10238084,17683776.8809899
-5650,17950380.339953516,17951584.07183628
-5660,18221964.896985658,18223185.623431027
-5670,18497398.01023129,18498639.209599014
-5680,18776730.53283701,18777995.676142715
-5690,19060013.941316616,19061293.742537916
-5700,19347300.342598207,19348599.698371176
-5710,19638642.481143966,19639960.835593093
-5720,19934093.746143475,19935430.589879632
-5730,20233708.178781733,20235067.536338706
-5740,20537540.479582217,20538920.468531486
-5750,20845646.0158252,20847045.568367947
-5760,21158080.829042885,21159502.985391844
-5770,21474901.642591648,21476349.80875893
-5780,21796165.86930218,21797630.081178106
-5790,22121931.61920828,22123420.55347112
-5800,22452257.70735457,22453766.358316842
-5810,22787203.66168487,22788735.923512626
-5820,23126829.7310112,23128386.105235275
-5830,23471196.893064275,23472773.76418917
-5840,23820366.862626214,23821969.079909828
-5850,24174402.099746607,24176026.997573256
-5860,24533365.818042547,24535011.421193138
-5870,24897321.993082993,24899000.730251856
-5880,25266335.37085858,25268038.342068538
-5890,25640471.476337895,25642197.955429956
-5900,26019796.622110818,26021549.122775845
-5910,26404377.917119447,26406153.35227092
-5920,26794283.275477543,26796090.050003182
-5930,27189581.425379835,27191414.59361433
-5940,27590341.918101575,27592185.53591924
-5950,27996635.137088772,27998527.25744031
-5960,28408532.307140738,28410450.28087121
-5970,28826105.503685202,28828046.51308755
-5980,29249427.662147604,29251404.27357518
-5990,29678572.58741421,29680577.223529644
-6000,30113614.96339068,30115648.129259802
-6010,30554630.362657364,30556691.773297068
-6020,31001695.256221563,31003793.159921683
-6030,31454887.023367338,31457013.386007678
-6040,31914283.96160467,31916440.92423238
-6050,32379965.296718355,32382146.005814668
-6060,32852011.192917593,32854230.233569536
-6070,33330502.763087314,33332755.599092785
-6080,33815522.07914156,33817813.81731826
-6090,34307152.18248088,34309469.117944546
-6100,34805477.09455443,34807831.93876003
-6110,35310581.82752662,35312966.133457735
-6120,35822552.395050384,35824976.97404047
-6130,36341475.82314803,36343935.27386083
-6140,36867440.16120043,36869933.71807506
-6150,37400534.49304503,37403068.55676215
-6160,37940848.94818397,37943417.622228414
-6170,38488474.71310391,38491083.789344355
-6180,39043504.04270835,39046142.384324625
-6190,39606030.27186216,39608716.30784571
-6200,40176147.827051,40178872.48466418
-6210,40753952.238156095,40756719.47334591
-6220,41339540.150345385,41342334.14621812
-6230,41933009.33608159,41935853.781254426
-6240,42534458.70724883,42537346.19663681
-6250,43143988.32739891,43146914.205947004
-6260,43761699.424118504,43764665.17003111
-6270,44387694.40151707,44390707.91581852
-6280,45022076.85283777,45025125.34281459
-6290,45664951.57319274,45668047.356084734
-6300,46316424.57242285,46319572.77236257
-6310,46976603.08808345,46979795.04527125
-6320,47645595.59855704,47648827.11578226
-6330,48323511.83629461,48326789.42586906
-6340,49010462.80118669,49013788.31575799
-6350,49706560.77406415,49709945.76684691
-6360,50411919.330331065,50415339.65998903
-6370,51126653.35373037,51130127.65427816
-6380,51850879.0502443,51854400.32360156
-6390,52584713.96212909,52588276.952393435
-6400,53328276.982086435,53331912.59975659
-6410,54081688.367572464,54085373.81693512
-6420,54845069.75524662,54848784.716085464
-6430,55618544.17555914,55622342.98205885
-6440,56402236.06748055,56406075.240823984
-6450,57196271.293373466,57200177.08523447
-6460,58000777.15400921,58004728.794879876
-6470,58815882.403728224,58819881.620621905
-6480,59641717.265746996,59645780.99963903
-6490,60478413.447613105,60482530.258278966
-6500,61326104.1568099,61330289.733712934
-6510,62184924.11650965,62189164.44597787
-6520,63055009.581478976,63059298.84254388
-6530,63936498.35413796,63940860.67593164
-6540,64829529.80077271,64833947.29463034
-6550,65734244.867903486,65738733.60297628
-6560,66650786.09880963,66655329.08322728
-6570,67579297.6502128,67583903.21359876
-6580,68519925.30912116,68524596.62772019
-6590,69472816.50983226,69477547.09462874
-6600,70438120.35109971,70442930.5206549
-6610,71415987.61346385,71420860.97098407
-6620,72406570.77674761,72411506.5600357
-6630,73410024.0377187,73415028.73748708
-6640,74426503.3279192,74431578.40081282
-6650,75456166.33166668,75461292.87115401
-6660,76499172.50422499,76504388.80820104
-6670,77555683.0901482,77560977.34039624
-6680,78625861.14179714,78631229.53395696
-6690,79709871.53803377,79715303.01325259
-6700,80807881.00309098,80813397.44731364
-6710,81920058.12562183,81925654.875829
-6720,83046573.37792704,83052242.88119043
-6730,84187599.1353668,84193368.49609889
-6740,85343309.69595422,85349141.27753566
-6750,86513881.30013397,86519793.62469174
-6760,87699492.15074584,87705476.9708653
-6770,88900322.4331787,88906400.27624127
-6780,90116554.33571304,90122717.40608078
-6790,91348372.0700535,91354606.14679298
-6800,92595961.89205536,92602284.50391498
-6810,93859512.12264545,93865914.37700847
-6820,95139213.16893902,95145728.76871994
-6830,96435257.54555473,96441853.30461915
-6840,97747839.89612725,97754521.55388486
-6850,99077157.01502356,99083933.86664693
-6860,100423407.86926153,100430307.6939234
-6870,101786793.62063144,101793764.32814595
-6880,103167517.64802477,103174592.41951324
-6890,104565785.5699727,104572941.14335443
-6900,105981805.26739089,105989080.41520049
-6910,107415786.90653977,107423138.6061526
